run_id,stage,wave,arch,encoder,class_weights,n_images,train_pct,val_pct,seed,augmentation,checkpoint_metric,best_epoch,epochs_completed,early_stopped,best_val_loss,dice_macro,dice_axon,dice_myelin,dice_bg,iou_macro,iou_axon,iou_myelin,iou_bg,precision_macro,precision_axon,precision_myelin,precision_bg,recall_macro,recall_axon,recall_myelin,recall_bg,hd95_macro,hd95_myelin_axon,hd95_axon,hd95_myelin,hd95_bg,train_stems,val_stems,model_path,result_path
sw__deeplabv3+__resnet34__cw1_1_1__67_33__seed1,sweep,1,deeplabv3+,resnet34,"[1.0, 1.0, 1.0]",30,67,33,1,False,val_loss,25,65,True,0.1836,0.9024,0.8084,0.7386,0.9395,0.8257,0.7285,0.6221,0.8893,0.9093,0.7991,0.8001,0.9192,0.8976,0.8924,0.7518,0.963,10.7346,12.4466,14.2866,10.6066,7.3106,"['ctrl_img_4', 'ctrl_img_21', 'ctrl_img_20', 'ctrl_img_5', 'ctrl_img_26', 'ctrl_img_10', 'ctrl_img_9', 'ctrl_img_16', 'ctrl_img_17', 'ctrl_img_27', 'regen_img_2', 'regen_img_15', 'regen_img_29', 'regen_img_23', 'regen_img_12', 'regen_img_3', 'regen_img_13', 'regen_img_14', 'regen_img_18', 'regen_img_7']","['ctrl_img_1', 'ctrl_img_22', 'ctrl_img_25', 'ctrl_img_8', 'ctrl_img_6', 'regen_img_30', 'regen_img_11', 'regen_img_19', 'regen_img_28', 'regen_img_24']",/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__deeplabv3+__resnet34__cw1_1_1__67_33__seed1.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__deeplabv3+__resnet34__cw1_1_1__67_33__seed1/result.json
sw__deeplabv3+__resnet34__cw1_1_1__67_33__seed2,sweep,1,deeplabv3+,resnet34,"[1.0, 1.0, 1.0]",30,67,33,2,False,val_loss,32,72,True,0.186,0.9,0.8604,0.7695,0.9434,0.8212,0.7717,0.6488,0.8946,0.8933,0.8504,0.7546,0.9563,0.9071,0.8815,0.8099,0.9321,12.9054,14.6971,16.2609,13.1332,9.3219,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__deeplabv3+__resnet34__cw1_1_1__67_33__seed2.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__deeplabv3+__resnet34__cw1_1_1__67_33__seed2/result.json
sw__deeplabv3+__resnet34__cw1_1_1__67_33__seed3,sweep,1,deeplabv3+,resnet34,"[1.0, 1.0, 1.0]",30,67,33,3,False,val_loss,20,60,True,0.236,0.8871,0.7549,0.6727,0.9239,0.8006,0.6744,0.5682,0.8624,0.8928,0.7891,0.7294,0.9242,0.8819,0.8085,0.7237,0.9265,16.2499,19.5005,21.303,17.698,9.7487,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__deeplabv3+__resnet34__cw1_1_1__67_33__seed3.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__deeplabv3+__resnet34__cw1_1_1__67_33__seed3/result.json
sw__deeplabv3+__resnet34__cw1_1_1__67_33__seed4,sweep,1,deeplabv3+,resnet34,"[1.0, 1.0, 1.0]",30,67,33,4,False,val_loss,20,60,True,0.2117,0.8936,0.875,0.791,0.9229,0.8106,0.7862,0.6642,0.8604,0.8936,0.8592,0.8017,0.9135,0.8942,0.8966,0.7893,0.9349,9.5513,10.4929,12.4293,8.5565,7.6682,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__deeplabv3+__resnet34__cw1_1_1__67_33__seed4.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__deeplabv3+__resnet34__cw1_1_1__67_33__seed4/result.json
sw__deeplabv3+__resnet34__cw1_1_1__67_33__seed5,sweep,1,deeplabv3+,resnet34,"[1.0, 1.0, 1.0]",30,67,33,5,False,val_loss,32,72,True,0.218,0.8895,0.8488,0.7437,0.9352,0.805,0.7577,0.6204,0.881,0.8989,0.8829,0.7897,0.9206,0.8812,0.831,0.731,0.9531,11.1762,12.8517,13.2764,12.427,7.8251,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__deeplabv3+__resnet34__cw1_1_1__67_33__seed5.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__deeplabv3+__resnet34__cw1_1_1__67_33__seed5/result.json
sw__deeplabv3+__resnet34__cw1_1_1__80_20__seed1,sweep,1,deeplabv3+,resnet34,"[1.0, 1.0, 1.0]",30,80,20,1,False,val_loss,21,61,True,0.1531,0.9122,0.7849,0.7322,0.9524,0.8422,0.7159,0.6264,0.9112,0.9204,0.7733,0.8065,0.9355,0.906,0.9002,0.7566,0.9724,10.7263,12.7674,14.6535,10.8813,6.6442,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__deeplabv3+__resnet34__cw1_1_1__80_20__seed1.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__deeplabv3+__resnet34__cw1_1_1__80_20__seed1/result.json
sw__deeplabv3+__resnet34__cw1_1_1__80_20__seed2,sweep,1,deeplabv3+,resnet34,"[1.0, 1.0, 1.0]",30,80,20,2,False,val_loss,39,79,True,0.1821,0.9013,0.8461,0.7544,0.952,0.8241,0.7567,0.6337,0.9094,0.8978,0.8669,0.734,0.9651,0.906,0.837,0.7992,0.94,13.8452,15.8364,16.9195,14.7532,9.8627,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__deeplabv3+__resnet34__cw1_1_1__80_20__seed2.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__deeplabv3+__resnet34__cw1_1_1__80_20__seed2/result.json
sw__deeplabv3+__resnet34__cw1_1_1__80_20__seed3,sweep,1,deeplabv3+,resnet34,"[1.0, 1.0, 1.0]",30,80,20,3,False,val_loss,20,60,True,0.2024,0.8916,0.7391,0.6675,0.9342,0.8077,0.6671,0.5719,0.8796,0.8919,0.7672,0.6974,0.9473,0.8916,0.8317,0.7764,0.925,16.4796,20.0693,21.6295,18.5091,9.3004,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__deeplabv3+__resnet34__cw1_1_1__80_20__seed3.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__deeplabv3+__resnet34__cw1_1_1__80_20__seed3/result.json
sw__deeplabv3+__resnet34__cw1_1_1__80_20__seed4,sweep,1,deeplabv3+,resnet34,"[1.0, 1.0, 1.0]",30,80,20,4,False,val_loss,17,57,True,0.2036,0.898,0.8741,0.791,0.9323,0.8179,0.7849,0.6665,0.8759,0.8988,0.8722,0.8007,0.928,0.8972,0.8791,0.7858,0.9375,7.7253,8.3856,9.8554,6.9157,6.4048,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__deeplabv3+__resnet34__cw1_1_1__80_20__seed4.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__deeplabv3+__resnet34__cw1_1_1__80_20__seed4/result.json
sw__deeplabv3+__resnet34__cw1_1_1__80_20__seed5,sweep,1,deeplabv3+,resnet34,"[1.0, 1.0, 1.0]",30,80,20,5,False,val_loss,21,61,True,0.2316,0.8868,0.8325,0.7239,0.9271,0.8006,0.7416,0.6025,0.8677,0.8983,0.8711,0.7832,0.9082,0.8769,0.8165,0.7065,0.9504,13.2468,15.5891,15.6412,15.5371,8.5621,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__deeplabv3+__resnet34__cw1_1_1__80_20__seed5.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__deeplabv3+__resnet34__cw1_1_1__80_20__seed5/result.json
