run_id,stage,wave,arch,encoder,class_weights,n_images,train_pct,val_pct,seed,augmentation,checkpoint_metric,best_epoch,epochs_completed,early_stopped,best_val_loss,dice_macro,dice_axon,dice_myelin,dice_bg,iou_macro,iou_axon,iou_myelin,iou_bg,precision_macro,precision_axon,precision_myelin,precision_bg,recall_macro,recall_axon,recall_myelin,recall_bg,hd95_macro,hd95_myelin_axon,hd95_axon,hd95_myelin,hd95_bg,train_stems,val_stems,model_path,result_path,collapse_pct_arch,collapse_pct_encoder,collapse_pct_combo
sw__manet__efficientnet-b3__cw1_1_1__67_33__seed1,sweep,1,manet,efficientnet-b3,"[1.0, 1.0, 1.0]",30,67,33,1,False,val_loss,2,42,True,1.0444,0.3583,0.1988,0.0848,0.7338,0.265,0.1373,0.0563,0.6235,0.7874,0.8765,0.884,0.6238,0.3903,0.1963,0.1017,0.9995,68.5012,72.7423,76.3006,69.184,60.019,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__manet__efficientnet-b3__cw1_1_1__67_33__seed1.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__manet__efficientnet-b3__cw1_1_1__67_33__seed1/result.json,13.8,38.9,38.8
sw__manet__efficientnet-b3__cw1_1_1__67_33__seed2,sweep,1,manet,efficientnet-b3,"[1.0, 1.0, 1.0]",30,67,33,2,False,val_loss,1,41,True,0.8907,0.4124,0.1684,0.1135,0.762,0.3011,0.1178,0.0729,0.6452,0.8201,0.932,0.9283,0.6454,0.4194,0.1231,0.0753,0.9992,75.8815,83.2481,88.725,77.7711,61.1484,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__manet__efficientnet-b3__cw1_1_1__67_33__seed2.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__manet__efficientnet-b3__cw1_1_1__67_33__seed2/result.json,13.8,38.9,38.8
sw__manet__efficientnet-b3__cw1_1_1__67_33__seed4,sweep,1,manet,efficientnet-b3,"[1.0, 1.0, 1.0]",30,67,33,4,False,val_loss,6,46,True,0.9891,0.3799,0.1769,0.1144,0.6911,0.2669,0.1295,0.0767,0.5659,0.7889,0.9687,0.9288,0.5664,0.4119,0.1344,0.0813,0.9986,67.6964,65.0862,64.4753,65.6971,72.9167,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__manet__efficientnet-b3__cw1_1_1__67_33__seed4.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__manet__efficientnet-b3__cw1_1_1__67_33__seed4/result.json,13.8,38.9,38.8
sw__manet__efficientnet-b3__cw1_1_1__67_33__seed5,sweep,1,manet,efficientnet-b3,"[1.0, 1.0, 1.0]",30,67,33,5,False,val_loss,3,43,True,0.9167,0.4161,0.1444,0.2108,0.7515,0.3022,0.094,0.133,0.6296,0.7403,0.9201,0.5147,0.6333,0.426,0.0958,0.1574,0.989,65.2055,81.4623,105.3321,57.5925,32.6919,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__manet__efficientnet-b3__cw1_1_1__67_33__seed5.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__manet__efficientnet-b3__cw1_1_1__67_33__seed5/result.json,13.8,38.9,38.8
sw__manet__efficientnet-b3__cw1_1_1__80_20__seed5,sweep,1,manet,efficientnet-b3,"[1.0, 1.0, 1.0]",30,80,20,5,False,val_loss,2,42,True,0.9297,0.3051,0.1154,0.1017,0.7171,0.2289,0.0774,0.0661,0.5995,0.7514,0.8832,0.8012,0.6001,0.3618,0.0792,0.0679,0.9987,91.1609,108.8604,114.4704,103.2504,55.7619,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__manet__efficientnet-b3__cw1_1_1__80_20__seed5.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__manet__efficientnet-b3__cw1_1_1__80_20__seed5/result.json,13.8,38.9,38.8
sw__manet__efficientnet-b3__cw1_1_2__67_33__seed1,sweep,1,manet,efficientnet-b3,"[1.0, 1.0, 2.0]",30,67,33,1,False,val_loss,2,42,True,0.9892,0.3089,0.129,0.0872,0.7265,0.2341,0.1061,0.0746,0.6143,0.7692,0.968,0.8691,0.6143,0.3622,0.1158,0.082,0.9999,106.9766,124.2159,124.145,124.2867,72.4982,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__manet__efficientnet-b3__cw1_1_2__67_33__seed1.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__manet__efficientnet-b3__cw1_1_2__67_33__seed1/result.json,13.8,38.9,38.8
sw__manet__efficientnet-b3__cw1_1_2__67_33__seed2,sweep,1,manet,efficientnet-b3,"[1.0, 1.0, 2.0]",30,67,33,2,False,val_loss,1,41,True,0.9453,0.3777,0.1454,0.0826,0.7551,0.2783,0.0998,0.0499,0.637,0.8056,0.9752,0.8873,0.6371,0.399,0.1027,0.0519,0.9997,76.567,82.452,86.9899,77.9141,64.7969,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__manet__efficientnet-b3__cw1_1_2__67_33__seed2.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__manet__efficientnet-b3__cw1_1_2__67_33__seed2/result.json,13.8,38.9,38.8
sw__manet__efficientnet-b3__cw1_1_2__67_33__seed3,sweep,1,manet,efficientnet-b3,"[1.0, 1.0, 2.0]",30,67,33,3,False,val_loss,1,41,True,1.2034,0.4464,0.1529,0.3005,0.7562,0.3294,0.1192,0.2104,0.6451,0.742,0.9151,0.6645,0.648,0.4558,0.15,0.2875,0.9882,59.6199,71.8118,91.2217,52.402,35.2361,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__manet__efficientnet-b3__cw1_1_2__67_33__seed3.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__manet__efficientnet-b3__cw1_1_2__67_33__seed3/result.json,13.8,38.9,38.8
sw__manet__efficientnet-b3__cw1_1_2__67_33__seed4,sweep,1,manet,efficientnet-b3,"[1.0, 1.0, 2.0]",30,67,33,4,False,val_loss,1,41,True,1.058,0.2427,0.0274,0.0078,0.6632,0.1838,0.0155,0.0048,0.5361,0.7176,0.9769,0.9027,0.5361,0.3383,0.0156,0.0048,1.0,120.5754,138.583,133.6,143.566,84.5601,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__manet__efficientnet-b3__cw1_1_2__67_33__seed4.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__manet__efficientnet-b3__cw1_1_2__67_33__seed4/result.json,13.8,38.9,38.8
sw__manet__efficientnet-b3__cw1_1_2__67_33__seed5,sweep,1,manet,efficientnet-b3,"[1.0, 1.0, 2.0]",30,67,33,5,False,val_loss,2,42,True,1.238,0.3579,0.0972,0.1272,0.7363,0.2624,0.0629,0.0795,0.6118,0.7142,0.8745,0.5425,0.6134,0.3899,0.0647,0.0891,0.992,87.6463,108.429,127.2812,89.5769,46.0809,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__manet__efficientnet-b3__cw1_1_2__67_33__seed5.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__manet__efficientnet-b3__cw1_1_2__67_33__seed5/result.json,13.8,38.9,38.8
sw__manet__efficientnet-b3__cw1_1_2__80_20__seed4,sweep,1,manet,efficientnet-b3,"[1.0, 1.0, 2.0]",30,80,20,4,False,val_loss,1,41,True,1.1104,0.3938,0.2393,0.2152,0.7096,0.2792,0.1595,0.1347,0.5912,0.7713,0.9464,0.793,0.5919,0.4165,0.1639,0.1456,0.9981,59.4019,66.478,71.7272,61.2288,45.2498,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__manet__efficientnet-b3__cw1_1_2__80_20__seed4.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__manet__efficientnet-b3__cw1_1_2__80_20__seed4/result.json,13.8,38.9,38.8
sw__manet__efficientnet-b3__cw1_1_2__93_7__seed2,sweep,1,manet,efficientnet-b3,"[1.0, 1.0, 2.0]",30,93,7,2,False,val_loss,1,41,True,0.9676,0.4889,0.2277,0.1719,0.7894,0.3597,0.152,0.1084,0.6716,0.8259,0.8211,0.6772,0.672,0.4666,0.1539,0.1131,0.999,77.9632,94.1419,100.2851,87.9987,45.6059,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__manet__efficientnet-b3__cw1_1_2__93_7__seed2.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__manet__efficientnet-b3__cw1_1_2__93_7__seed2/result.json,13.8,38.9,38.8
sw__manet__efficientnet-b3__cw1_1_3__67_33__seed1,sweep,1,manet,efficientnet-b3,"[1.0, 1.0, 3.0]",30,67,33,1,False,val_loss,2,42,True,0.9655,0.3507,0.152,0.0975,0.7361,0.2597,0.1183,0.0741,0.6258,0.7405,0.927,0.7938,0.626,0.3846,0.1495,0.1059,0.9996,78.9502,86.0079,90.7896,81.2263,64.8347,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__manet__efficientnet-b3__cw1_1_3__67_33__seed1.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__manet__efficientnet-b3__cw1_1_3__67_33__seed1/result.json,13.8,38.9,38.8
sw__manet__efficientnet-b3__cw1_1_3__67_33__seed2,sweep,1,manet,efficientnet-b3,"[1.0, 1.0, 3.0]",30,67,33,2,False,val_loss,1,41,True,0.9592,0.3224,0.0926,0.0439,0.7454,0.2438,0.0604,0.0254,0.6256,0.7931,0.9676,0.895,0.6257,0.3682,0.0624,0.026,0.9999,88.4182,97.6065,100.8503,94.3626,70.0417,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__manet__efficientnet-b3__cw1_1_3__67_33__seed2.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__manet__efficientnet-b3__cw1_1_3__67_33__seed2/result.json,13.8,38.9,38.8
sw__manet__efficientnet-b3__cw1_1_3__67_33__seed3,sweep,1,manet,efficientnet-b3,"[1.0, 1.0, 3.0]",30,67,33,3,False,val_loss,1,41,True,1.1918,0.4663,0.197,0.2902,0.7569,0.3401,0.1494,0.1992,0.6486,0.7427,0.8923,0.6258,0.6527,0.4644,0.1926,0.2825,0.9852,52.0232,61.7051,72.6106,50.7995,32.6594,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__manet__efficientnet-b3__cw1_1_3__67_33__seed3.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__manet__efficientnet-b3__cw1_1_3__67_33__seed3/result.json,13.8,38.9,38.8
sw__manet__efficientnet-b3__cw1_1_3__67_33__seed4,sweep,1,manet,efficientnet-b3,"[1.0, 1.0, 3.0]",30,67,33,4,False,val_loss,1,41,True,0.9208,0.2328,0.0041,0.0024,0.6618,0.1785,0.0029,0.002,0.5346,0.6752,0.9938,0.949,0.5346,0.3336,0.0029,0.002,1.0,151.4527,180.715,178.3048,183.1251,92.9283,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__manet__efficientnet-b3__cw1_1_3__67_33__seed4.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__manet__efficientnet-b3__cw1_1_3__67_33__seed4/result.json,13.8,38.9,38.8
sw__manet__efficientnet-b3__cw1_1_3__67_33__seed5,sweep,1,manet,efficientnet-b3,"[1.0, 1.0, 3.0]",30,67,33,5,False,val_loss,2,42,True,1.1753,0.3733,0.1096,0.1703,0.7362,0.2722,0.0686,0.1027,0.6117,0.6897,0.8141,0.4467,0.6199,0.398,0.0697,0.1384,0.9755,73.8908,92.0858,117.7119,66.4597,37.5006,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__manet__efficientnet-b3__cw1_1_3__67_33__seed5.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__manet__efficientnet-b3__cw1_1_3__67_33__seed5/result.json,13.8,38.9,38.8
sw__manet__efficientnet-b3__cw1_2_1__67_33__seed1,sweep,1,manet,efficientnet-b3,"[1.0, 2.0, 1.0]",30,67,33,1,False,val_loss,1,41,True,0.9189,0.2672,0.0755,0.0723,0.7198,0.2102,0.0656,0.0645,0.607,0.785,0.9504,0.9278,0.607,0.341,0.0792,0.0726,0.9999,116.5402,137.0141,142.1618,131.8663,75.5924,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__manet__efficientnet-b3__cw1_2_1__67_33__seed1.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__manet__efficientnet-b3__cw1_2_1__67_33__seed1/result.json,13.8,38.9,38.8
sw__manet__efficientnet-b3__cw1_2_1__67_33__seed2,sweep,1,manet,efficientnet-b3,"[1.0, 2.0, 1.0]",30,67,33,2,False,val_loss,1,41,True,0.954,0.3107,0.0415,0.0742,0.7439,0.2369,0.0245,0.0448,0.6239,0.8028,0.9791,0.9071,0.6241,0.3618,0.0247,0.0467,0.9994,91.0353,102.7041,120.8897,84.5185,67.6978,[],[],/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__manet__efficientnet-b3__cw1_2_1__67_33__seed2.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__manet__efficientnet-b3__cw1_2_1__67_33__seed2/result.json,13.8,38.9,38.8
