arch,encoder,class_weights,n_runs,composite_score,dice_macro_mean,dice_macro_sd,dice_axon_mean,dice_axon_sd,dice_myelin_mean,dice_myelin_sd,dice_bg_mean,dice_bg_sd,iou_macro_mean,iou_macro_sd,iou_axon_mean,iou_axon_sd,iou_myelin_mean,iou_myelin_sd,iou_bg_mean,iou_bg_sd,precision_macro_mean,precision_macro_sd,precision_axon_mean,precision_axon_sd,precision_myelin_mean,precision_myelin_sd,precision_bg_mean,precision_bg_sd,recall_macro_mean,recall_macro_sd,recall_axon_mean,recall_axon_sd,recall_myelin_mean,recall_myelin_sd,recall_bg_mean,recall_bg_sd,hd95_macro_mean,hd95_macro_sd,hd95_myelin_axon_mean,hd95_myelin_axon_sd,hd95_axon_mean,hd95_axon_sd,hd95_myelin_mean,hd95_myelin_sd,hd95_bg_mean,hd95_bg_sd
deeplabv3+,resnet34,"[1.0, 1.0, 1.0]",15,0.738,0.8917,0.0127,0.8165,0.0517,0.722,0.062,0.9351,0.0111,0.8087,0.0199,0.7303,0.0486,0.606,0.0545,0.8806,0.0192,0.8975,0.0103,0.8343,0.0407,0.7664,0.0372,0.9269,0.024,0.8875,0.0176,0.8385,0.0565,0.7353,0.0698,0.9465,0.0167,13.845,4.8368,16.2195,6.2427,17.0076,5.1936,15.4314,7.6663,9.096,2.2197
deeplabv3+,resnet34,"[1.0, 1.0, 2.0]",15,0.7292,0.8909,0.0125,0.8128,0.0571,0.7133,0.0675,0.9348,0.0101,0.8073,0.0194,0.7266,0.0539,0.598,0.0577,0.8803,0.0174,0.8957,0.0105,0.8149,0.0433,0.7692,0.0445,0.9276,0.0223,0.8881,0.0174,0.8538,0.0575,0.7213,0.0695,0.9454,0.0177,14.3717,5.4291,16.9194,7.1915,17.6049,5.9006,16.234,8.9844,9.2764,2.0841
deeplabv3+,resnet34,"[1.0, 1.0, 3.0]",15,0.7205,0.8904,0.0135,0.808,0.0615,0.71,0.0697,0.9351,0.0108,0.8067,0.021,0.7226,0.0576,0.5962,0.0586,0.8808,0.0186,0.8956,0.0102,0.8112,0.0465,0.7736,0.0358,0.9275,0.0207,0.8873,0.0187,0.8527,0.062,0.7156,0.07,0.9459,0.0161,15.0832,6.3614,17.8276,8.2395,18.1858,6.3213,17.4693,10.435,9.5943,2.7484
deeplabv3+,resnet34,"[1.0, 2.0, 1.0]",15,0.7292,0.8911,0.0138,0.8079,0.0566,0.7231,0.0643,0.9334,0.011,0.8075,0.0215,0.721,0.0527,0.6079,0.0574,0.8777,0.019,0.8943,0.0112,0.8405,0.0461,0.7398,0.0367,0.9347,0.0222,0.8891,0.0179,0.8208,0.0597,0.7659,0.0745,0.9353,0.0175,14.6583,5.284,17.1646,6.9068,18.0395,5.9388,16.2896,8.1552,9.6458,2.1433
deeplabv3+,resnet34,"[1.0, 3.0, 1.0]",15,0.7215,0.8894,0.015,0.8037,0.0589,0.7191,0.0723,0.9319,0.011,0.8048,0.0231,0.7162,0.0541,0.6048,0.0622,0.8751,0.019,0.8931,0.0106,0.8495,0.0479,0.726,0.0321,0.937,0.0226,0.8878,0.0213,0.8064,0.0632,0.7775,0.0904,0.9303,0.0196,15.2708,6.52,17.9159,8.5176,18.4923,6.6345,17.3395,10.751,9.9805,2.661
deeplabv3+,resnet34,"[2.0, 1.0, 1.0]",15,0.7281,0.8906,0.0133,0.8127,0.0547,0.7137,0.0662,0.9358,0.0116,0.8071,0.0207,0.7268,0.0511,0.5988,0.0567,0.8819,0.0201,0.8998,0.0094,0.8307,0.0414,0.7782,0.0343,0.9203,0.0237,0.8836,0.018,0.8364,0.0616,0.7127,0.0693,0.9549,0.0133,14.4953,5.9224,17.1014,7.7658,17.7186,6.1132,16.4841,9.7895,9.2831,2.3782
deeplabv3+,resnet34,"[2.0, 1.0, 2.0]",15,0.721,0.8893,0.0144,0.8086,0.0609,0.7029,0.0788,0.9356,0.0117,0.8051,0.0222,0.7232,0.0574,0.589,0.0671,0.8815,0.0202,0.8999,0.0091,0.823,0.0404,0.7873,0.034,0.9188,0.0249,0.8822,0.0206,0.8404,0.0685,0.6959,0.0802,0.9561,0.0143,14.7398,6.4859,17.4194,8.3983,17.466,6.0202,17.3728,11.061,9.3806,2.7997
deeplabv3+,resnet34,"[2.0, 2.0, 1.0]",15,0.7352,0.8914,0.013,0.8101,0.053,0.7232,0.062,0.9352,0.0113,0.8081,0.0203,0.7225,0.0493,0.6081,0.0543,0.8808,0.0195,0.8979,0.0104,0.8438,0.047,0.7546,0.0326,0.9282,0.0248,0.8866,0.0176,0.8201,0.0551,0.7476,0.077,0.9453,0.0166,13.9938,4.8071,16.3852,6.2907,17.2301,5.1034,15.5402,7.7606,9.2111,1.9707
deeplabv3+,resnet34,"[3.0, 1.0, 1.0]",15,0.7258,0.8896,0.0132,0.8078,0.0597,0.7102,0.067,0.9354,0.0117,0.8054,0.0205,0.7217,0.0563,0.5951,0.0577,0.8813,0.0201,0.9007,0.0083,0.8327,0.0426,0.7813,0.0302,0.9172,0.0241,0.881,0.0185,0.8274,0.0653,0.7069,0.0722,0.9575,0.0123,14.4248,5.834,17.0298,7.5713,17.5545,5.8833,16.5052,9.4195,9.2147,2.4705
deeplabv3+,resnet34,"[4.0, 1.0, 1.0]",15,0.7322,0.8888,0.0118,0.8104,0.0508,0.7095,0.0603,0.935,0.0116,0.8042,0.0184,0.7232,0.0473,0.5931,0.0514,0.8806,0.0201,0.9013,0.0094,0.834,0.0443,0.7901,0.0299,0.9139,0.0247,0.8792,0.0156,0.829,0.0537,0.6973,0.0659,0.9603,0.013,13.6511,4.9553,16.1664,6.472,16.9215,5.4014,15.4112,7.7985,8.6206,2.0921
